		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000111001   28   27   27   31   29   31   29   17  8.928970 0.348323 SUCCESS  26
000111011   26   29   11   39   29   33   20   28 23.045027 0.003307 FAILURE  27
000111101   22   32   21   23   23   20   25   18  5.916300 0.656607 SUCCESS  28
000111111   35   25   27   30   17   23   21   24  9.291073 0.318340 SUCCESS  29
001000011   25   24   22   18   27   25   19   22  3.780753 0.876343 SUCCESS  30
001000101   28   19   22   17   30   33   24   26  8.926322 0.348549 SUCCESS  31
001000111   31   29   30   32   20   30   20   27  9.776304 0.281079 SUCCESS  32
001001011   24   18   27   22   17   26   21   27  5.475421 0.705762 SUCCESS  33
001001101   27   19   23   22   31   29   23   23  4.757173 0.783186 SUCCESS  34
001001111   23   24   23   27   29   32   23   21  4.376535 0.821655 SUCCESS  35
001010011   26   19   21   19   22   26   25   16  6.423376 0.599919 SUCCESS  36
001010101   27   26   26   27   23   20   26   22  2.045704 0.979579 SUCCESS  37
001010111   25   23   15   30   31   26   21   15 11.356450 0.182309 SUCCESS  38
001011011   26   28   22   27   20   19   20   25  4.077982 0.850020 SUCCESS  39
001011101   34   27   28   20   22   24   20   33  9.766374 0.281808 SUCCESS  40
001011111   21   21   26   19   30   29   29   25  5.460858 0.707373 SUCCESS  41
001100101   20   17   36   27   27   35   22   24 14.426712 0.071299 SUCCESS  42
001100111   23   29   22   28   29   25   16   27  5.960652 0.651640 SUCCESS  43
001101011   25   24   21   29   20   13   24   23  7.822139 0.451034 SUCCESS  44
001101101   24   24   19   20   22   13   30   25  9.160663 0.328925 SUCCESS  45
001101111   29   29   36   20   26   26   29   23  9.513498 0.300844 SUCCESS  46
001110101   26   23   31   27   17   23   16   33 10.849373 0.210381 SUCCESS  47
001110111   30   23   21   31   27   32   29   27  7.666574 0.466699 SUCCESS  48
001111011   20   28   15   23   23   19   23   15 10.337001 0.242165 SUCCESS  49
001111101   27   14   33   26   22   34   22   19 13.738915 0.088829 SUCCESS  50
001111111   23   20   19   29   21   30   27   21  5.629000 0.688710 SUCCESS  51
010000011   25   34   19   29   20   20   21   18  9.915982 0.270973 SUCCESS  52
010000111   22   24   24   24   23   26   20   23  1.357907 0.994824 SUCCESS  53
010001011   20   16   19   17   24   23   31   26  9.406257 0.309191 SUCCESS  54
010001111   28   27   26   31   22   22   19   19  5.748157 0.675418 SUCCESS  55
010010011   18   17   25   26   24   27   22   21  5.204009 0.735565 SUCCESS  56
010010111   25   15   30   24   20   26   16   32 11.458395 0.177054 SUCCESS  57
010011011   25   23   24   20   25   28   25   20  2.324397 0.969417 SUCCESS  58
010011111   19   17   26   27   29   37   36   21 17.765738 0.023053 SUCCESS  59
010100011   24   30   24   32   25   24   16   15 10.543538 0.228928 SUCCESS  60
010100111   19   23   19   23   21   26   33   17  8.686685 0.369412 SUCCESS  61
010101011   24   30   27   25   22   22   31   28  4.521508 0.807277 SUCCESS  62
010101111   19   30   18   23   33   29   19   16 12.636057 0.125000 SUCCESS  63
010110011   21   24   30   28   26   24   24   19  3.731766 0.880477 SUCCESS  64
010110111   26   29   23   27   24   21   21   24  2.367426 0.967627 SUCCESS  65
010111011   35   23   25   22   25   22   25   34  9.283791 0.318924 SUCCESS  66
010111111   24   28   15   17   35   30   21   23 13.280825 0.102546 SUCCESS  67
011000111   27   24   16   36   16   26   29   25 12.993526 0.112073 SUCCESS  68
011001111   23   27   31   27   29   29   19   24  5.538309 0.698792 SUCCESS  69
011010111   22   21   17   30   21   14   21   17 12.260052 0.139973 SUCCESS  70
011011111   31   33   30   21   29   31   28   24 10.099350 0.258122 SUCCESS  71
011101111   30   29   23   21   28   33   29   29  8.276920 0.406898 SUCCESS  72
011111111   22   22   19   16   23   30   27   20  7.229006 0.512138 SUCCESS  73
100000000   29   24   24   31   25   27   33   28  6.743112 0.564586 SUCCESS  74
100010000   15   30   10   32   25   28   23   25 16.966066 0.030464 SUCCESS  75
100100000   27   22   25   22   22   26   24   21  1.637924 0.990174 SUCCESS  76
100101000   29   26   20   28   31   27   24   18  6.249275 0.619331 SUCCESS  77
100110000   21   22   15   21   24   14   24   18 11.293562 0.185614 SUCCESS  78
100111000   24   20   30   26   28   35   27   23  7.945268 0.438835 SUCCESS  79
101000000   33   29   31   19   23   28   21   23  8.317300 0.403105 SUCCESS  80
101000100   27   15   18   19   24   29   27   31 10.035138 0.262568 SUCCESS  81
101001000   30   24   27   18   26   24   15   12 13.727661 0.089146 SUCCESS  82
101001100   27   21   33   22   25   22   22   24  4.663834 0.792827 SUCCESS  83
101010000   20   28   27   27   20   17   15   29  9.720698 0.285179 SUCCESS  84
101010100   23   18   27   25   15   25   27   22  6.407489 0.601686 SUCCESS  85
101011000   19   24   29   30   23   21   29   24  4.943851 0.763560 SUCCESS  86
101011100   23   20   23   30   19   18   27   25  5.585972 0.693498 SUCCESS  87
101100000   28   18   24   24   27   25   20   39 12.452026 0.132146 SUCCESS  88
101100100   23   20   31   23   27   29   20   26  4.943851 0.763560 SUCCESS  89
101101000   18   21   19   20   26   23   30   25  5.814355 0.668018 SUCCESS  90
101101100   28   19   28   25   21   24   19   33  7.214442 0.513683 SUCCESS  91
101110000   27   24   22   24   25   28   26   26  1.326132 0.995233 SUCCESS  92
101110100   33   23   26   23   22   26   27   31  5.894454 0.659053 SUCCESS  93
101111000   17   22   19   23   25   26   13   19 10.743456 0.216663 SUCCESS  94
101111100   28   23   25   24   25   26   29   21  2.164860 0.975536 SUCCESS  95
110000000   22   25   25   30   27   26   21   26  2.597133 0.957047 SUCCESS  96
110000010   29   23   26   26   23   26   23   28  2.021211 0.980355 SUCCESS  97
110000100   25   28   26   23   25   24   26   18  2.621626 0.955818 SUCCESS  98
110001000   20   26   18   29   25   28   26   25  4.248773 0.834010 SUCCESS  99
110001010   28   20   29   27   26   24   15   22  6.654407 0.574336 SUCCESS 100
110010000   21   22   26   18   26   20   27   25  3.806570 0.874140 SUCCESS 101
110010010   26   25   26   24   26   28   23   25  0.995804 0.998275 SUCCESS 102
110010100   25   20   19   25   27   22   25   20  3.450425 0.903003 SUCCESS 103
110011000   25   19   23   24   23   22   21   25  2.170818 0.975322 SUCCESS 104
110011010   22   25   27   25   22   21   38   22  9.375806 0.311592 SUCCESS 105
110100000   35   20   23   25   25   24   28   20  7.070792 0.529014 SUCCESS 106
110100010   18   23   18   17   22   20   22   21  7.667236 0.466632 SUCCESS 107
110100100   22   20   20   23   28   29   18   18  6.881466 0.549474 SUCCESS 108
110101000   27   29   25   26   19   14   19   29  9.255326 0.321217 SUCCESS 109
110101010   20   22   28   23   14   27   32   28  9.561160 0.297186 SUCCESS 110
110101100   22   32   24   26   23   19   25   22  4.383816 0.820941 SUCCESS 111
110110000   26   24   18   25   23   32   13   37 16.628457 0.034219 SUCCESS 112
110110010   25   22   24   23   22   24   19   21  2.323073 0.969471 SUCCESS 113
110110100   21   16   22   27   20   16   26   20  8.744277 0.364326 SUCCESS 114
110111000   27   32   25   28   35   27   27   24  8.641670 0.373420 SUCCESS 115
110111010   19   27   33   20   19   25   27   27  7.299175 0.504725 SUCCESS 116
110111100   18   28   22   23   27   25   25   27  3.214760 0.920166 SUCCESS 117
111000000   21   23   21   21   23   21   28   31  4.518860 0.807543 SUCCESS 118
111000010   23   31   30   33   22   20   28   22  8.249778 0.409459 SUCCESS 119
111000100   19   25   23   26   29   32   17   15 10.848049 0.210458 SUCCESS 120
111000110   22   24   37   28   22   23   40   21 18.656101 0.016811 SUCCESS 121
111001000   19   20   23   18   19   24   18   19  8.082298 0.425473 SUCCESS 122
111001010   23   26   14   32   23   19   27   15 12.567211 0.127634 SUCCESS 123
111001100   19   22   31   29   21   22   15   17 11.016192 0.200783 SUCCESS 124
111010000   30   27   29   37   24   20   28   25 10.632244 0.223420 SUCCESS 125
111010010   23   16   20   26   25   36   20   22 10.780527 0.214448 SUCCESS 126
111010100   27   24   30   26   21   25   21   23  2.808304 0.945805 SUCCESS 127
111010110   21   28   28   20   25   25   18   21  4.662510 0.792963 SUCCESS 128
111011000   27   29   16   29   21   24   15   27  9.594259 0.294666 SUCCESS 129
111011010   27   22   24   38   23   23   28   21  9.579696 0.295773 SUCCESS 130
111011100   33   26   30   29   28   20   21   21  7.817506 0.451497 SUCCESS 131
111100000   28   25   20   26   23   21   25   23  2.163536 0.975583 SUCCESS 132
111100010   20   28   15   22   25   21   21   15 10.091406 0.258669 SUCCESS 133
111100100   22   18   26   17   31   32   27   18 10.721611 0.217977 SUCCESS 134
111100110   24   33   33   23   21   23   30   21  8.749573 0.363860 SUCCESS 135
111101000   31   33   23   24   30   23   24   23  6.572322 0.583397 SUCCESS 136
111101010   26   25   23   21   20   26   27   24  1.917942 0.983425 SUCCESS 137
111101100   23   25   23   25   21   29   24   24  1.596219 0.990992 SUCCESS 138
111101110   19   30   23   23   29   24   21   17  6.441912 0.597858 SUCCESS 139
111110000   26   29   18   28   24   26   30   26  4.843230 0.774193 SUCCESS 140
111110010   24   20   23   24   32   28   26   17  6.341291 0.609060 SUCCESS 141
111110100   28   27   23   18   32   31   26   25  7.072116 0.528872 SUCCESS 142
111110110   29   24   26   29   25   34   24   23  5.920272 0.656162 SUCCESS 143
111111000   23   25   24   19   28   28   33   23  5.656142 0.685686 SUCCESS 144
111111010   33   30   20   16   25   28   23   27  9.206339 0.325190 SUCCESS 145
111111100   20   25   22   24   26   34   29   24  6.003681 0.646820 SUCCESS 146
111111110   22   22   19   16   23   30   27   20  7.229006 0.512138 SUCCESS 147

